couples,interactions
"Player Queen, Rosencrantz",0
"First Player, Fortinbras",0
"Fortinbras, Priest",0
"Attendants, Messenger",0
"Francisco, Lucianus",0
"King Fortinbras, Marcellus",0
"Fortinbras, Osric",0
"Cornelius, Gentlemen",0
"First Ambassador, Francisco",0
"Ambassadors from Norway, King Fortinbras",0
"First Player, Messenger",0
"Francisco, Ghost",0
"First Player, Reynaldo",0
"King Claudius, Queen Gertrude",0
"Bernardo, First Player",0
"First Clown, King Fortinbras",0
"Ophelia, Queen Gertrude",0
"A Lord, Horatio",0
"Hamlet, Horatio",0
"Guildenstern, King Claudius",0
"Lords, Player King",0
"Attendants, First Ambassador",0
"First Sailor, Laertes",0
"King Fortinbras, Players",0
"Lucianus, Voltimand",0
"Fortinbras, Reynaldo",0
"Horatio, Laertes",0
"Ambassadors from Norway, Servant",0
"A Lord, Player Queen",0
"Messenger, Servant",0
"Hamlet, Player Queen",0
"First Ambassador, Queen Gertrude",0
"Ghost, Polonius",0
"First Clown, Servant",0
"Gentlemen, Ophelia",0
"Ambassadors from Norway, King Claudius",0
"Bernardo, Player King",0
"Marcellus, Servant",0
"Messenger, Players",0
"Cornelius, First Sailor",0
"First Clown, King Claudius",0
"Ghost, Priest",0
"A Lord, Rosencrantz",0
"Hamlet, Rosencrantz",0
"Ghost, Second Clown",0
"Rosencrantz, Voltimand",0
"Francisco, Horatio",0
"Marcellus, Players",0
"Fortinbras, Lucianus",0
"King Fortinbras, Prince Fortinbras",0
"King Fortinbras, Queen Gertrude",0
"Queen Gertrude, Rosencrantz",0
"A Lord, Marcellus",0
"Hamlet, Marcellus",0
"First Player, Laertes",0
"Captain, First Sailor",0
"Fortinbras, Ghost",0
"Ambassadors from Norway, First Player",0
"Francisco, Player Queen",0
"Second Clown, Servant",0
"Gentlemen, Guildenstern",0
"Cornelius, Guildenstern",0
"First Clown, First Player",0
"Players, Servant",0
"Messenger, Prince Fortinbras",0
"Fortinbras, Laertes",0
"Ambassadors from Norway, Lords",0
"Lucianus, Player Queen",0
"A Lord, Francisco",0
"Marcellus, Prince Fortinbras",0
"Captain, Guildenstern",0
"Bernardo, Cornelius",0
"Ambassadors from Norway, Player King",0
"Messenger, Player King",0
"First Ambassador, Gentlemen",0
"Osric, Servant",0
"Francisco, Marcellus",0
"First Clown, Player King",0
"First Sailor, Servant",0
"Priest, Reynaldo",0
"Player King, Player Queen",0
"Marcellus, Player King",0
"King Claudius, Ophelia",0
"Lords, Osric",0
"Ophelia, Second Clown",0
"Ghost, Lucianus",0
"Lucianus, Rosencrantz",0
"Reynaldo, Servant",0
"Horatio, Servant",0
"Fortinbras, Horatio",0
"Attendants, King Fortinbras",0
"First Sailor, Players",0
"A Lord, Queen Gertrude",0
"Francisco, Players",0
"Hamlet, Queen Gertrude",0
"Lucianus, Marcellus",0
"Horatio, Players",0
"Laertes, Player King",0
"Player King, Rosencrantz",0
"Fortinbras, Player Queen",0
"Bernardo, Osric",0
"Players, Prince Fortinbras",0
"Lords, Messenger",0
"First Ambassador, Ophelia",0
"Lords, Reynaldo",0
"Captain, Messenger",0
"Attendants, Servant",0
"First Ambassador, First Sailor",0
"Bernardo, Fortinbras",0
"Cornelius, First Ambassador",0
"Attendants, King Claudius",0
"First Player, Servant",0
"Gentlemen, Hamlet",0
"Cornelius, Hamlet",0
"Ambassadors from Norway, Cornelius",0
"Bernardo, Messenger",0
"Captain, First Clown",0
"First Sailor, Prince Fortinbras",0
"Bernardo, Reynaldo",0
"King Fortinbras, Second Clown",0
"Captain, First Ambassador",0
"King Fortinbras, Ophelia",0
"Francisco, Queen Gertrude",0
"First Player, Players",0
"Fortinbras, Marcellus",0
"Ambassadors from Norway, Polonius",0
"Messenger, Polonius",0
"Lords, Lucianus",0
"Horatio, Prince Fortinbras",0
"First Sailor, Lords",0
"Osric, Player King",0
"Ghost, Horatio",0
"First Clown, Polonius",0
"First Sailor, Player King",0
"Bernardo, First Clown",0
"First Ambassador, Guildenstern",0
"Horatio, Lords",0
"Ophelia, Voltimand",0
"Marcellus, Polonius",0
"Attendants, First Player",0
"Ambassadors from Norway, Priest",0
"Horatio, Player King",0
"Messenger, Priest",0
"Fortinbras, Players",0
"Messenger, Second Clown",0
"Lucianus, Queen Gertrude",0
"Bernardo, Lucianus",0
"Ghost, Player Queen",0
"First Clown, Priest",0
"A Lord, Gentlemen",0
"Guildenstern, Messenger",0
"Ambassadors from Norway, Osric",0
"Guildenstern, Reynaldo",0
"Marcellus, Priest",0
"Bernardo, Ghost",0
"Marcellus, Second Clown",0
"First Clown, Osric",0
"Player King, Queen Gertrude",0
"Attendants, Lords",0
"Ambassadors from Norway, Fortinbras",0
"First Player, Prince Fortinbras",0
"Ghost, Rosencrantz",0
"Attendants, Player King",0
"First Clown, Fortinbras",0
"First Player, Lords",0
"Bernardo, Laertes",0
"Players, Polonius",0
"Ambassadors from Norway, Bernardo",0
"Ambassadors from Norway, Reynaldo",0
"First Player, Player King",0
"Ghost, Marcellus",0
"Laertes, Osric",0
"Fortinbras, Prince Fortinbras",0
"Fortinbras, Queen Gertrude",0
"First Clown, Reynaldo",0
"King Fortinbras, Voltimand",0
